query_id,product_id,label,C0,whole_C0,delta_C0,C1,whole_C1,delta_C1,C2s1,whole_C2s1,delta_C2s1,C2s2,whole_C2s2,delta_C2s2,C2s3,whole_C2s3,delta_C2s3,C2s4,whole_C2s4,delta_C2s4,C2s5,whole_C2s5,delta_C2s5,rank_range,VI@10,VI@20,VI@50,dataset,retriever,query
47631,B06XKHNCZW,E,16,16,0,42,36,26,42,40,26,42,41,26,16,14,0,42,37,26,16,12,0,26,False,True,False,esci,gte_modernbert,groceries ebt eligible snacks
29952,B01JZ4KKLA,E,16,16,0,28,27,12,28,28,12,25,25,9,28,30,12,41,36,25,41,37,25,25,False,True,False,esci,gte_modernbert,cream v neck t shirt women
39022,B000NRPN8E,E,14,14,0,31,28,17,7,6,-7,7,7,-7,17,18,3,28,28,14,31,30,17,24,True,True,False,esci,gte_modernbert,ez up tent light
34775,B07X8SRBVY,E,15,15,0,38,37,23,15,14,0,32,30,17,30,27,15,16,15,1,32,32,17,23,False,True,False,esci,gte_modernbert,donkey and diddy kong
15311,B07FD59CPX,E,37,37,0,14,13,-23,14,14,-23,16,15,-21,37,38,0,34,31,-3,34,33,-3,23,False,True,False,esci,gte_modernbert,beyblade'
92217,B01MZHYW4F,E,15,15,0,38,40,23,38,39,23,38,41,23,15,14,0,15,13,0,15,12,0,23,False,True,False,esci,gte_modernbert,shampoo
40292,B07GQXG45W,E,17,17,0,32,25,15,39,38,22,39,33,22,31,31,14,32,29,15,17,15,0,22,False,True,False,esci,gte_modernbert,film for lights
92810,B078W61VB6,E,17,17,0,33,27,16,34,30,17,33,29,16,33,30,16,23,24,6,39,38,22,22,False,True,False,esci,gte_modernbert,short bridal off the shoulder sheath dreses
57276,B07H8N7ZCW,E,12,12,0,33,27,21,12,11,0,12,12,0,33,30,21,12,11,0,12,12,0,21,False,True,False,esci,gte_modernbert,kerastase shampoo without sulfates
57276,B01LKZ0Q20,E,19,19,0,40,32,21,19,13,0,40,34,21,19,13,0,19,15,0,19,16,0,21,False,True,False,esci,gte_modernbert,kerastase shampoo without sulfates
19369,B00N0IO86G,E,9,9,0,30,24,21,30,26,21,30,25,21,9,8,0,9,9,0,9,8,0,21,True,True,False,esci,gte_modernbert,bracelet for men tommy hilfiger
47631,B01EAG3VZA,E,8,8,0,22,17,14,25,23,17,22,20,14,8,8,0,4,4,-4,25,21,17,21,True,True,False,esci,gte_modernbert,groceries ebt eligible snacks
