Method,Reference,Split,Mode,Metric,Delta_pp,CI_low_pp,CI_high_pp,Queries,Draws,Seed,multiplicity_correction
D_primary_seed_mean,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444227,308,10000,20260963,none
D_primary_seed_mean,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235472,308,10000,20260963,none
D_primary_seed_mean,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog,Recall@100,-1.0639660446114807,-2.642633083450464,0.5765223733090249,308,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog,Robust@100,-1.0639660446114807,-2.642633083450464,0.5765223733090249,308,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog,Never@100,1.0639660446114807,-0.5765223733090254,2.642633083450464,308,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822681,0.7788468453818277,308,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822681,0.7788468453818277,308,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog,Never@100,-0.3528766152936525,-0.7788468453818276,-0.06584890837822667,308,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog,Recall@100,3.604620209821937e-17,-3.289215941462517e-16,4.010139983426905e-16,308,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog,Robust@100,3.604620209821937e-17,-3.289215941462517e-16,4.010139983426905e-16,308,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog,Never@100,1.5657569036414037e-16,-1.5097163238168281e-16,4.697270710924212e-16,308,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog,Recall@100,1.3782156348120267,0.18508222431478774,2.552615165479002,308,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog,Robust@100,1.3782156348120267,0.18508222431478774,2.552615165479002,308,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog,Never@100,-1.3782156348120265,-2.552615165479001,-0.18508222431478846,308,10000,20260963,none
S_primary_seed_mean,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444227,308,10000,20260963,none
S_primary_seed_mean,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235472,308,10000,20260963,none
S_primary_seed_mean,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog,Recall@100,-1.0639660446114807,-2.642633083450464,0.5765223733090249,308,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog,Robust@100,-1.0639660446114807,-2.642633083450464,0.5765223733090249,308,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog,Never@100,1.0639660446114807,-0.5765223733090254,2.642633083450464,308,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822681,0.7788468453818277,308,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822681,0.7788468453818277,308,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog,Never@100,-0.3528766152936525,-0.7788468453818276,-0.06584890837822667,308,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog,Recall@100,3.604620209821937e-17,-3.289215941462517e-16,4.010139983426905e-16,308,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog,Robust@100,3.604620209821937e-17,-3.289215941462517e-16,4.010139983426905e-16,308,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog,Never@100,1.5657569036414037e-16,-1.5097163238168281e-16,4.697270710924212e-16,308,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog,Recall@100,7.075502225075063,5.376365132860329,8.816404695023255,308,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog,Robust@100,7.075502225075063,5.376365132860329,8.816404695023255,308,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog,Never@100,-7.075502225075063,-8.816404695023259,-5.376365132860327,308,10000,20260963,none
D_T0_s42,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
D_T0_s42,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
D_T0_s42,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
D_T0_s42,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s42,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s42,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog_fully_fitting,Recall@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog_fully_fitting,Robust@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog_fully_fitting,Never@100,-4.146113040598789,-6.7575543192547975,-1.7274761503554483,239,10000,20260963,none
S_T0_s42,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
S_T0_s42,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
S_T0_s42,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
S_T0_s42,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s42,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s42,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog_fully_fitting,Recall@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog_fully_fitting,Robust@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog_fully_fitting,Never@100,-10.04994572055946,-12.980265699919471,-7.346258870074017,239,10000,20260963,none
D_T0_s43,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
D_T0_s43,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
D_T0_s43,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
D_T0_s43,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s43,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s43,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog_fully_fitting,Recall@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog_fully_fitting,Robust@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog_fully_fitting,Never@100,-4.146113040598789,-6.7575543192547975,-1.7274761503554483,239,10000,20260963,none
D_T0_s44,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
D_T0_s44,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
D_T0_s44,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
D_T0_s44,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s44,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
D_T0_s44,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog_fully_fitting,Recall@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog_fully_fitting,Robust@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog_fully_fitting,Never@100,-4.146113040598789,-6.7575543192547975,-1.7274761503554483,239,10000,20260963,none
S_T0_s43,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
S_T0_s43,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
S_T0_s43,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
S_T0_s43,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s43,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s43,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog_fully_fitting,Recall@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog_fully_fitting,Robust@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog_fully_fitting,Never@100,-10.04994572055946,-12.980265699919471,-7.346258870074017,239,10000,20260963,none
S_T0_s44,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481,239,10000,20260963,none
S_T0_s44,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907,239,10000,20260963,none
S_T0_s44,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
S_T0_s44,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s44,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856,239,10000,20260963,none
S_T0_s44,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722,239,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682,239,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974,239,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog_fully_fitting,Robust@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog_fully_fitting,Never@100,0.0,0.0,0.0,239,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog_fully_fitting,Recall@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog_fully_fitting,Robust@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog_fully_fitting,Never@100,-10.04994572055946,-12.980265699919471,-7.346258870074017,239,10000,20260963,none
D_T1_s42,D_T0_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T2_s42,D_T1_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T2_f0.5_s42,D_T2_f0.25_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_T2_s42,D_T2_f0.5_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T1_s42,S_T0_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T2_s42,S_T1_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T2_f0.5_s42,S_T2_f0.25_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
S_T2_s42,S_T2_f0.5_s42,test,catalog_fully_fitting,Recall@100,0.0,0.0,0.0,239,10000,20260963,none
D_primary_seed_mean,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.104970439694902,6.65557311984481,239,10000,20260963,none
D_primary_seed_mean,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375903,239,10000,20260963,none
D_primary_seed_mean,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615285,1.1576906337607722,6.867312253567855,239,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615285,1.1576906337607722,6.867312253567855,239,10000,20260963,none
D_primary_seed_mean,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.8673122535678575,-1.157690633760772,239,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Recall@100,0.5853588369214187,-0.031542633006987154,1.5995403443914682,239,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Robust@100,0.5853588369214187,-0.031542633006987154,1.5995403443914682,239,10000,20260963,none
D_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Never@100,-0.5853588369214192,-1.599540344391469,0.031542633006986946,239,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Recall@100,-1.2339037276822476e-16,-5.225945199595402e-16,2.7004345993187024e-16,239,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Robust@100,-1.2339037276822476e-16,-5.225945199595402e-16,2.7004345993187024e-16,239,10000,20260963,none
D_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Never@100,-1.3355193287854917e-16,-4.3839873618828097e-16,1.5968165887652618e-16,239,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog_fully_fitting,Recall@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog_fully_fitting,Robust@100,4.146113040598789,1.7274761503554468,6.757554319254797,239,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,test,catalog_fully_fitting,Never@100,-4.14611304059879,-6.757554319254799,-1.727476150355449,239,10000,20260963,none
S_primary_seed_mean,Original,test,catalog_fully_fitting,Recall@100,3.826419931254537,1.104970439694902,6.65557311984481,239,10000,20260963,none
S_primary_seed_mean,Original,test,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375903,239,10000,20260963,none
S_primary_seed_mean,Original,test,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116,239,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog_fully_fitting,Recall@100,3.947917859615285,1.1576906337607722,6.867312253567855,239,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog_fully_fitting,Robust@100,3.947917859615285,1.1576906337607722,6.867312253567855,239,10000,20260963,none
S_primary_seed_mean,Canonical,test,catalog_fully_fitting,Never@100,-3.947917859615287,-6.8673122535678575,-1.157690633760772,239,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Recall@100,0.5853588369214187,-0.031542633006987154,1.5995403443914682,239,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Robust@100,0.5853588369214187,-0.031542633006987154,1.5995403443914682,239,10000,20260963,none
S_primary_seed_mean,Set-Mean,test,catalog_fully_fitting,Never@100,-0.5853588369214192,-1.599540344391469,0.031542633006986946,239,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Recall@100,-1.2339037276822476e-16,-5.225945199595402e-16,2.7004345993187024e-16,239,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Robust@100,-1.2339037276822476e-16,-5.225945199595402e-16,2.7004345993187024e-16,239,10000,20260963,none
S_primary_seed_mean,Set-Attention,test,catalog_fully_fitting,Never@100,-1.3355193287854917e-16,-4.3839873618828097e-16,1.5968165887652618e-16,239,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog_fully_fitting,Recall@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog_fully_fitting,Robust@100,10.04994572055946,7.346258870074017,12.980265699919466,239,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,test,catalog_fully_fitting,Never@100,-10.049945720559462,-12.98026569991947,-7.346258870074017,239,10000,20260963,none
